n	r	c	t	p	2n^3	Runtime [cycles]	Performance [flops/cycle]	Percentage of peak performance [%]
100	8677502	2618.5	0.00268	0	2000000	8677502	0.2304810762	0.0036012668
200	77158537	22816	0.022686	0	16000000	77158537	0.2073652589	0.0032400822
300	271287865	83059	0.084847	0	54000000	271287865	0.1990505547	0.0031101649
400	693325409	207920	0.212749	0	128000000	693325409	0.1846174947	0.0028846484
500	1467316595	457248	0.443782	0	250000000	1467316595	0.1703790449	0.0026621726
600	2508507271	804898	0.812863	0	432000000	2508507271	0.1722139716	0.0026908433
700	4237305450	1351944	1.330708	0	686000000	4237305450	0.1618953385	0.0025296147
800	8160201071	2485083	2.696418	0	1024000000	8160201071	0.1254871039	0.001960736
900	15125770730	5345116	4.954845	0	1458000000	15125770730	0.0963917823	0.0015061216
1000	20254137948	5996848	6.006898	0	2000000000	20254137948	0.0987452542	0.0015428946
1100	45580308179	13695529	13.677718	0	2662000000	45580308179	0.0584024134	0.0009125377
1200	67636443984	20623507	20.677885	0	3456000000	67636443984	0.0510967135	0.0007983861
1300	88262397156	27019506	28.105599	0	4394000000	88262397156	0.0497833748	0.0007778652
1400	105123877263	31969547	32.163369	0	5488000000	105123877263	0.052205076	0.0008157043
1500	139965130445	42546626	45.69154	0	6750000000	139965130445	0.0482262974	0.0007535359

