n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
16,202,187,184,184,179,296,198,180,191,186,199,180,184,179,185,190,208,201,186,187,247,188,202,179,191,184,184,185,187,185
32,424,537,390,393,392,399,387,459,382,400,385,401,384,526,403,397,395,461,396,397,405,412,393,402,404,408,391,395,395,406
64,777,808,911,805,784,768,765,778,772,774,785,776,847,774,796,826,813,779,814,784,789,784,801,783,778,770,780,777,766,826
128,1574,1543,1622,1577,1564,1528,1521,1578,1531,1524,1550,1525,1563,1567,1564,1566,1550,1525,1536,1645,1565,1517,1546,1637,1535,1510,1583,1550,1536,1530
256,3152,3077,3050,3074,3061,3070,3089,3066,3170,3150,3242,3086,3078,3211,3094,3161,3120,3109,3066,3165,3113,3136,3117,3093,3135,3057,3046,3105,3070,3109
512,6340,6295,6244,6272,6350,6165,6188,6234,6122,6213,6194,6191,6182,6254,6151,6101,6299,6160,6335,6264,6061,6167,6235,6136,6319,6185,6218,6251,6107,6132
1024,12702,12663,12520,12580,12539,12512,12379,12678,12455,12314,12558,12620,12242,12506,12445,12578,12454,12406,12536,12491,12344,12608,12593,12573,12490,12703,12469,12811,12646,12520
2048,25173,25352,24943,25340,25114,25421,25209,25568,25033,25630,24935,24737,25206,25263,25282,25332,25821,25559,25160,25257,25714,25566,25383,25879,25684,25330,24983,24979,25556,25448
4096,50765,51538,50568,51670,50354,50291,50560,51278,50678,50471,49560,50391,50147,50905,51061,52464,50247,50690,50113,50788,49658,50939,50003,51141,50168,49604,49566,51801,50848,51046
8192,106017,103696,107496,104737,104949,103906,104229,105222,102803,103738,104969,102959,104279,108320,105807,103530,104976,104877,104270,103499,103838,102829,105279,103451,104631,105434,105652,104199,103999,104473
16384,211352,202313,204715,205144,202655,206802,206637,212597,214565,203281,205753,211907,204913,203167,206083,212497,205630,202403,205381,204763,205663,208243,202949,200692,203265,202392,209920,205116,206599,201476
32768,416614,418034,409506,410613,415908,424333,418483,432238,411482,412858,407516,413066,411443,412246,410709,413586,406704,411229,413750,415808,415133,414746,416966,413787,412034,410709,411041,417123,411293,411843
65536,843915,838506,836953,837857,831730,833759,801008,811176,812414,806468,798390,813528,806284,821455,813134,810566,818117,805806,799150,813052,817052,796692,800519,806817,822233,808350,803995,800099,805830,804875
131072,1653836,1692080,1684210,1688763,1659319,1681266,1756825,1755322,1653572,1647674,1686015,1723572,1660843,1655497,1735442,1669538,1749848,1683718,1657786,1644889,1708236,1704741,1622284,1645256,1828139,1836685,1649492,1644997,1751612,1669359
262144,3588763,3628874,4090420,4041923,3619072,3538648,3545979,3513306,3492053,3549521,3527887,4054842,3658748,4335153,4962004,3629364,4143418,3703836,3567905,3535397,3828846,3585037,3612549,3910067,3719334,3543207,4508025,4665612,3684089,3964959
524288,7652850,8167832,7678163,7948948,8228836,7636847,7879387,9361433,8025363,8052088,8914787,7780993,8266279,7771466,8571718,8538247,7857909,7688207,8426175,8149966,7870732,7911184,8585213,7789302,7697770,9048922,8589771,7942312,8102182,8895682
1048576,15850837,16552377,16497858,16580650,17143630,15257799,15267946,15280093,15428254,15078517,16379717,18257116,18491160,16503279,16090238,15769265,15319881,15769126,15437743,16882435,15841860,17178716,16623359,15767029,16642767,18050609,15937009,16102651,15764677,17183220
2097152,30633682,33674904,32665025,33453061,33759654,31023533,32558955,37985578,36027943,31938043,33402355,34181765,31141951,33586634,34303060,30812743,32641854,33835361,32176609,31684435,35395719,33542098,34634514,36366462,32591737,31303586,35732608,31530536,37072719,35851978
4194304,69894236,69023844,62514860,61234382,62488211,62636393,66792026,76729992,82544760,67181123,63139218,76340380,74704799,69174591,82965582,69424474,65935219,60677025,62578314,65042640,61742465,69449002,63930395,68109283,90972079,68704251,71239087,69106495,135608502,66737494
